10/16/2018 2:49:12 PM FEED MONEY:            1.00      1.00      
10/16/2018 2:49:17 PM FEED MONEY:            2.00      3.00      
10/16/2018 2:49:22 PM GIVE CHANGE:           3.00      0.00      
10/16/2018 2:49:59 PM FEED MONEY:            2.00      2.00      
10/16/2018 2:50:13 PM GIVE CHANGE:           2.00      0.00      
10/16/2018 3:05:02 PM GIVE CHANGE:           0.00      0.00      
10/16/2018 3:06:23 PM FEED MONEY:            5.00      5.00      
10/16/2018 3:06:33 PM Chiclets D3            5.00      4.25      
10/16/2018 3:06:38 PM Mountain Melter C3     4.25      2.75      
10/16/2018 3:06:40 PM GIVE CHANGE:           2.75      0.00      
10/20/2018 1:03:28 PM FEED MONEY:            5.00      5.00      
10/20/2018 1:03:37 PM U-Chews D1             5.00      4.15      
10/20/2018 1:03:49 PM Heavy C4               4.15      2.65      
10/20/2018 1:03:59 PM GIVE CHANGE:           2.65      0.00      
10/20/2018 1:04:24 PM FEED MONEY:            5.00      5.00      
10/20/2018 1:04:31 PM Stackers A2            5.00      3.55      
10/20/2018 1:04:36 PM Moonpie B1             3.55      1.75      
10/20/2018 1:04:41 PM Cola C1                1.75      0.50      
10/20/2018 1:04:44 PM GIVE CHANGE:           0.50      0.00      
10/20/2018 1:05:12 PM FEED MONEY:            2.00      2.00      
10/20/2018 1:05:20 PM Stackers A2            2.00      0.55      
10/20/2018 1:05:21 PM GIVE CHANGE:           0.55      0.00      
10/20/2018 1:10:00 PM FEED MONEY:            2.00      2.00      
10/20/2018 1:10:03 PM Stackers A2            2.00      0.55      
10/20/2018 1:10:04 PM GIVE CHANGE:           0.55      0.00      
10/20/2018 1:10:10 PM FEED MONEY:            1.00      1.00      
10/20/2018 1:10:16 PM Little League Chew D2  1.00      0.05      
10/20/2018 1:10:18 PM GIVE CHANGE:           0.05      0.00      
10/20/2018 1:32:01 PM FEED MONEY:            5.00      5.00      
10/20/2018 1:32:08 PM Potato Crisps A1       5.00      1.95      
10/20/2018 1:32:13 PM Moonpie B1             1.95      0.15      
10/20/2018 1:32:16 PM GIVE CHANGE:           0.15      0.00      
10/20/2018 1:32:25 PM FEED MONEY:            2.00      2.00      
10/20/2018 1:32:32 PM Mountain Melter C3     2.00      0.50      
10/20/2018 1:32:35 PM GIVE CHANGE:           0.50      0.00      
10/20/2018 1:32:53 PM FEED MONEY:            10.00     10.00     
10/20/2018 1:33:04 PM Wonka Bar B3           10.00     8.50      
10/20/2018 1:33:08 PM Wonka Bar B3           8.50      7.00      
10/20/2018 1:33:13 PM Moonpie B1             7.00      5.20      
10/20/2018 1:33:16 PM Crunchie B4            5.20      3.45      
10/20/2018 1:33:28 PM Dr. Salt C2            3.45      1.95      
10/20/2018 1:33:30 PM Dr. Salt C2            1.95      0.45      
10/20/2018 1:33:33 PM GIVE CHANGE:           0.45      0.00      
10/20/2018 1:33:52 PM FEED MONEY:            2.00      2.00      
10/20/2018 1:33:53 PM FEED MONEY:            1.00      3.00      
10/20/2018 1:34:02 PM Stackers A2            3.00      1.55      
10/20/2018 1:34:09 PM Mountain Melter C3     1.55      0.05      
10/20/2018 1:34:12 PM GIVE CHANGE:           0.05      0.00      
10/20/2018 1:34:26 PM FEED MONEY:            5.00      5.00      
10/20/2018 1:34:31 PM Mountain Melter C3     5.00      3.50      
10/20/2018 1:34:34 PM Mountain Melter C3     3.50      2.00      
10/20/2018 1:34:36 PM Mountain Melter C3     2.00      0.50      
10/20/2018 1:34:45 PM GIVE CHANGE:           0.50      0.00      
